Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,null,null,null,null,null,null
2015-06-01,108.360001,111.059998,104.870003,107.959999,102.255241,20583300
2015-07-01,108.720001,113.870003,107.400002,110.430000,104.594711,17094500
2015-08-01,110.660004,112.580002,96.000000,102.309998,96.903786,18144200
2015-09-01,99.910004,103.910004,96.849998,98.199997,93.296028,20899600
2015-10-01,98.040001,101.959999,95.639999,96.160004,91.357895,20657700
2015-11-01,95.000000,104.830002,94.199997,103.120003,97.970329,31211200
2015-12-01,103.489998,104.230003,95.220001,100.339996,95.650505,25020300
2016-01-01,98.440002,99.089996,82.089996,89.139999,84.973961,37910700
2016-02-01,88.870003,89.839996,77.760002,88.800003,84.649834,31272700
2016-03-01,89.570000,98.559998,89.570000,96.559998,92.455780,31217800
2016-04-01,95.639999,100.989998,92.120003,95.720001,91.651459,24106800
2016-05-01,95.790001,99.339996,92.400002,98.639999,94.447372,21479600
2016-06-01,98.639999,101.699997,87.300003,93.709999,90.082626,30527100
2016-07-01,93.500000,106.580002,90.980003,106.010002,101.906502,19683100
2016-08-01,106.139999,108.980003,102.870003,108.690002,104.482773,15317200
2016-09-01,108.699997,110.830002,105.410004,108.279999,104.459747,19793300
2016-10-01,107.919998,110.000000,100.410004,100.519997,96.973534,22563600
2016-11-01,101.019997,102.660004,97.580002,100.500000,96.954224,20641200
2016-12-01,100.680000,101.129997,93.849998,94.269997,91.286301,20330200
2017-01-01,95.010002,104.629997,93.510002,103.669998,100.388786,24306200
2017-02-01,103.959999,114.029999,98.250000,111.370003,107.845085,22335800
2017-03-01,112.650002,113.800003,110.110001,112.040001,109.250450,20134100
2017-04-01,112.139999,119.669998,110.820000,118.320000,115.374107,14303100
2017-05-01,118.309998,119.989998,112.550003,118.449997,115.500854,17622500
2017-06-01,118.570000,122.989998,115.589996,121.680000,119.050980,15667600
2017-07-01,122.070000,135.199997,121.529999,131.630005,128.785995,16828200
2017-08-01,131.759995,135.039993,126.279999,134.029999,131.134125,19543200
2017-09-01,134.639999,139.940002,132.279999,139.210007,136.600830,12718300
2017-10-01,139.520004,148.000000,139.330002,142.410004,139.740891,15002000
2017-11-01,143.789993,153.419998,140.149994,151.820007,148.974518,15785000
2017-12-01,151.820007,153.860001,145.119995,147.610001,145.219330,13693000
2018-01-01,147.960007,167.229996,145.500000,161.789993,159.169647,14611700
2018-02-01,161.669998,171.649994,147.339996,166.880005,164.177231,20020200
2018-03-01,166.720001,171.679993,156.320007,161.300003,159.106842,15545800
2018-04-01,160.960007,166.889999,156.240005,162.199997,159.994598,15978700
2018-05-01,161.479996,175.600006,160.479996,170.570007,168.250809,15835800
2018-06-01,172.440002,179.839996,168.389999,170.559998,168.673584,14059600
2018-07-01,169.710007,187.979996,168.300003,171.119995,169.227371,17839800
2018-08-01,171.179993,178.240005,168.639999,178.020004,176.051071,16226500
2018-09-01,177.910004,181.970001,167.089996,167.199997,165.775879,15504200
2018-10-01,168.119995,169.919998,139.110001,145.479996,144.240891,32252300
2018-11-01,145.479996,159.539993,143.850006,159.070007,157.715149,27396800
2018-12-01,161.550003,162.500000,129.259995,140.039993,139.260696,24634100
2019-01-01,137.419998,160.020004,135.919998,158.509995,157.627914,21043800
2019-02-01,158.759995,175.080002,158.720001,173.119995,172.156616,18086100
2019-03-01,174.860001,182.529999,167.779999,181.089996,180.611603,20436700
2019-04-01,182.789993,196.910004,182.669998,196.619995,196.100571,17709800
2019-05-01,196.949997,197.729996,182.839996,185.929993,185.438812,9847900
2019-05-17,186.520004,188.035004,185.580002,185.929993,185.929993,669857
